Frequency,File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11
155171492,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,
157173719,-97.94,-97.94,-97.94,-97.94,-97.94,-97.94,-97.94,-97.94,-97.94,-97.94,
159175947,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,
161178174,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,
163180401,-86.41,-86.41,-86.41,-86.41,-86.41,-86.41,-86.41,-86.41,-86.41,-86.41,
165182628,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,
167184855,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,
169187082,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,
171189310,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,
173191537,-80.78,-80.78,-80.78,-80.78,-80.78,-80.78,-80.78,-80.78,-80.78,-80.78,
175193764,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28,-65.28
177195991,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75,-65.75
179198218,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25,-68.25
181200445,-82.72,-82.72,-82.72,-82.72,-82.72,-82.72,-82.72,-82.72,-82.72,-82.72,
183202673,-83.19,-83.19,-83.19,-83.19,-83.19,-83.19,-83.19,-83.19,-83.19,-83.19,
185204900,-87.16,-87.16,-87.16,-87.16,-87.16,-87.16,-87.16,-87.16,-87.16,-87.16,
187207127,-94.16,-94.16,-94.16,-94.16,-94.16,-94.16,-94.16,-94.16,-94.16,-94.16,
189209354,-96.12,-96.12,-96.12,-96.12,-96.12,-96.12,-96.12,-96.12,-96.12,-96.12,
191211581,-95.12,-95.12,-95.12,-95.12,-95.12,-95.12,-95.12,-95.12,-95.12,-95.12,
193213808,-94.09,-94.09,-94.09,-94.09,-94.09,-94.09,-94.09,-94.09,-94.09,-94.09,
195216036,-96.59,-96.59,-96.59,-96.59,-96.59,-96.59,-96.59,-96.59,-96.59,-96.59,
197218263,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,
199220490,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,
201222717,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,-96.53,
203224944,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,
205227171,-95.97,-95.97,-95.97,-95.97,-95.97,-95.97,-95.97,-95.97,-95.97,-95.97,
207229399,-100.44,-100.44,-100.44,-100.44,-100.44,-100.44,-100.44,-100.44,-100.44,-100.44,
209231626,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,
211233853,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,
213236080,-94.41,-94.41,-94.41,-94.41,-94.41,-94.41,-94.41,-94.41,-94.41,-94.41,
215238307,-95.88,-95.88,-95.88,-95.88,-95.88,-95.88,-95.88,-95.88,-95.88,-95.88,
217240535,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,
219242762,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,-95.34,
221244989,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,-95.81,
223247216,-98.31,-98.31,-98.31,-98.31,-98.31,-98.31,-98.31,-98.31,-98.31,-98.31,
225249443,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,
227251670,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,
229253898,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,
231256125,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,
233258352,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,
235260579,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,
237262806,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,
239265033,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,
241267261,-93.75,-93.75,-93.75,-93.75,-93.75,-93.75,-93.75,-93.75,-93.75,-93.75,
243269488,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,
245271715,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,
247273942,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,
249276169,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,
251278396,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,
253280624,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,
255282851,-95.31,-95.31,-95.31,-95.31,-95.31,-95.31,-95.31,-95.31,-95.31,-95.31,
257285078,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,
259287305,-96.81,-96.81,-96.81,-96.81,-96.81,-96.81,-96.81,-96.81,-96.81,-96.81,
